"Run","Assay Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center Name","Consent","Cultivar","DATASTORE filetype","DATASTORE provider","DATASTORE region","dev_stage","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Instrument","Library Name","LibraryLayout","LibrarySelection","LibrarySource","Number","Organism","Platform","ReleaseDate","Sample Name","SRA Study","tissue"
"SRR5891617","WGS",300,11500167300,"PRJNA393611","SAMN07341319","Plant",4455730741,"YUNNAN AGRICULTURAL UNIVERSITY","public","Kober 5BB","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057659","Austria","Europe","Austria","Illumina HiSeq 4000","TA-6141","PAIRED","RANDOM","GENOMIC",10116,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-6141","SRP114740","leaf"
"SRR5891618","WGS",300,6970764600,"PRJNA393611","SAMN07341318","Plant",2577111630,"YUNNAN AGRICULTURAL UNIVERSITY","public","5BB","fastq,sra","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057658","Austria","Europe","Austria","Illumina HiSeq 4000","TA-215","PAIRED","RANDOM","GENOMIC",10115,"Vitis","ILLUMINA","2019-03-22T00:00:00Z","TA-215","SRP114740","leaf"
"SRR5891619","WGS",300,7962016500,"PRJNA393611","SAMN07341321","Plant",3065509898,"YUNNAN AGRICULTURAL UNIVERSITY","public","Bayan Shirei","fastq,sra","s3,gs","gs.US,s3.us-east-1","not applicable","SRX3057657","Azerbaijan","Asia","Azerbaijan","Illumina HiSeq 4000","TA-342","PAIRED","RANDOM","GENOMIC",10118,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-342","SRP114740","leaf"
"SRR5891620","WGS",300,5457089400,"PRJNA393611","SAMN07341320","Plant",2055720614,"YUNNAN AGRICULTURAL UNIVERSITY","public","Silvaner Gruen","sra,fastq","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057656","Austria","Europe","Austria","Illumina HiSeq 4000","TA-398","PAIRED","RANDOM","GENOMIC",10117,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-398","SRP114740","leaf"
"SRR5891621","WGS",300,6716565300,"PRJNA393611","SAMN07341315","Plant",2670641220,"YUNNAN AGRICULTURAL UNIVERSITY","public","not applicable","sra,fastq","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057655","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","Z29","PAIRED","RANDOM","GENOMIC",10112,"Vitis romanetii","ILLUMINA","2019-03-22T00:00:00Z","Z29","SRP114740","leaf"
"SRR5891622","WGS",300,7283047500,"PRJNA393611","SAMN07341314","Plant",2722272905,"YUNNAN AGRICULTURAL UNIVERSITY","public","not applicable","fastq,sra","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057654","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-422","PAIRED","RANDOM","GENOMIC",10111,"Vitis romanetii","ILLUMINA","2019-03-22T00:00:00Z","TA-422","SRP114740","leaf"
"SRR5891623","WGS",300,7019743200,"PRJNA393611","SAMN07341317","Plant",2787994232,"YUNNAN AGRICULTURAL UNIVERSITY","public","Porcelain Berry\, Vitis brevipedunculata","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057653","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-164","PAIRED","RANDOM","GENOMIC",10114,"Ampelopsis glandulosa","ILLUMINA","2019-03-22T00:00:00Z","TA-164","SRP114740","leaf"
"SRR5891624","WGS",300,6824371500,"PRJNA393611","SAMN07341316","Plant",2651168523,"YUNNAN AGRICULTURAL UNIVERSITY","public","Bushkiller\, Vitis japonica","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057652","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-194","PAIRED","RANDOM","GENOMIC",10113,"Causonis japonica","ILLUMINA","2019-03-22T00:00:00Z","TA-194","SRP114740","leaf"
"SRR5891625","WGS",300,7119296700,"PRJNA393611","SAMN07341662","Plant",2707693121,"YUNNAN AGRICULTURAL UNIVERSITY","public","Flame Seedless","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057651","USA","North America","USA","Illumina HiSeq 4000","TA-119","PAIRED","RANDOM","GENOMIC",10459,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-119","SRP114740","leaf"
"SRR5891626","WGS",300,6481333500,"PRJNA393611","SAMN07341663","Plant",2469346525,"YUNNAN AGRICULTURAL UNIVERSITY","public","Glenora Seedless","fastq,sra","s3,gs","gs.US,s3.us-east-1","not applicable","SRX3057650","USA","North America","USA","Illumina HiSeq 4000","TA-365","PAIRED","RANDOM","GENOMIC",10460,"Vitis","ILLUMINA","2019-03-22T00:00:00Z","TA-365","SRP114740","leaf"
