sample	unit	platform	fq1	fq2
SRR5891607	KE 06	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891607_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891607_1.fastq.gzKE 06_2.fastq.gz
SRR5891608	TA-6225	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891608_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891608_1.fastq.gzTA-6225_2.fastq.gz
SRR5891609	TA-6223	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891609_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891609_1.fastq.gzTA-6223_2.fastq.gz
SRR5891610	TA-6224	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891610_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891610_1.fastq.gzTA-6224_2.fastq.gz
SRR5891611	TA-6220	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891611_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891611_1.fastq.gzTA-6220_2.fastq.gz
SRR5891612	TA-6222	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891612_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891612_1.fastq.gzTA-6222_2.fastq.gz
SRR5891613	TA-6216	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891613_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891613_1.fastq.gzTA-6216_2.fastq.gz
SRR5891614	TA-6219	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891614_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891614_1.fastq.gzTA-6219_2.fastq.gz
SRR5891615	TA-179	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891615_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891615_1.fastq.gzTA-179_2.fastq.gz
SRR5891616	TA-295	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891616_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891616_1.fastq.gzTA-295_2.fastq.gz
SRR5891617	TA-6141	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891617_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891617_1.fastq.gzTA-6141_2.fastq.gz
SRR5891618	TA-215	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891618_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891618_1.fastq.gzTA-215_2.fastq.gz
SRR5891619	TA-342	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891619_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891619_1.fastq.gzTA-342_2.fastq.gz
